Crosswalk2013_CBSA Code,Crosswalk2013_CBSA Title,Crosswalk2013_State Name
22520,"Florence-Muscle Shoals, AL",Alabama
22540,"Fond du Lac, WI",Wisconsin
22660,"Fort Collins, CO",Colorado
22900,"Fort Smith, AR-OK",Arkansas
23060,"Fort Wayne, IN",Indiana
23420,"Fresno, CA",California
23460,"Gadsden, AL",Alabama
23540,"Gainesville, FL",Florida
23580,"Gainesville, GA",Georgia
23900,"Gettysburg, PA",Pennsylvania
24020,"Glens Falls, NY",New York
24140,"Goldsboro, NC",North Carolina
24220,"Grand Forks, ND-MN",Minnesota
24260,"Grand Island, NE",Nebraska
24300,"Grand Junction, CO",Colorado
24340,"Grand Rapids-Wyoming, MI",Michigan
24420,"Grants Pass, OR",Oregon
24500,"Great Falls, MT",Montana
24540,"Greeley, CO",Colorado
24580,"Green Bay, WI",Wisconsin
24660,"Greensboro-High Point, NC",North Carolina
24780,"Greenville, NC",North Carolina
24860,"Greenville-Anderson-Mauldin, SC",South Carolina
25020,"Guayama, PR",Puerto Rico
25060,"Gulfport-Biloxi-Pascagoula, MS",Mississippi
25180,"Hagerstown-Martinsburg, MD-WV",Maryland
25220,"Hammond, LA",Louisiana
25260,"Hanford-Corcoran, CA",California
25420,"Harrisburg-Carlisle, PA",Pennsylvania
25500,"Harrisonburg, VA",Virginia
25540,"Hartford-West Hartford-East Hartford, CT",Connecticut
25620,"Hattiesburg, MS",Mississippi
25860,"Hickory-Lenoir-Morganton, NC",North Carolina
25940,"Hilton Head Island-Bluffton-Beaufort, SC",South Carolina
25980,"Hinesville, GA",Georgia
26140,"Homosassa Springs, FL",Florida
26300,"Hot Springs, AR",Arkansas
26380,"Houma-Thibodaux, LA",Louisiana
26420,"Houston-The Woodlands-Sugar Land, TX",Texas
26580,"Huntington-Ashland, WV-KY-OH",West Virginia
26620,"Huntsville, AL",Alabama
26820,"Idaho Falls, ID",Idaho
26900,"Indianapolis-Carmel-Anderson, IN",Indiana
26980,"Iowa City, IA",Iowa
27060,"Ithaca, NY",New York
27100,"Jackson, MI",Michigan
27140,"Jackson, MS",Mississippi
27180,"Jackson, TN",Tennessee
27260,"Jacksonville, FL",Florida
27340,"Jacksonville, NC",North Carolina
27500,"Janesville-Beloit, WI",Wisconsin
27620,"Jefferson City, MO",Missouri
27740,"Johnson City, TN",Tennessee
27780,"Johnstown, PA",Pennsylvania
27860,"Jonesboro, AR",Arkansas
27900,"Joplin, MO",Missouri
27980,"Kahului-Wailuku-Lahaina, HI",Hawaii
28020,"Kalamazoo-Portage, MI",Michigan
28100,"Kankakee, IL",Illinois
28140,"Kansas City, MO-KS",Missouri
28420,"Kennewick-Richland, WA",Washington
28660,"Killeen-Temple, TX",Texas
28700,"Kingsport-Bristol-Bristol, TN-VA",Virginia
28740,"Kingston, NY",New York
28940,"Knoxville, TN",Tennessee
29020,"Kokomo, IN",Indiana
29100,"La Crosse-Onalaska, WI-MN",Minnesota
29180,"Lafayette, LA",Louisiana
29200,"Lafayette-West Lafayette, IN",Indiana
29340,"Lake Charles, LA",Louisiana
29420,"Lake Havasu City-Kingman, AZ",Arizona
29460,"Lakeland-Winter Haven, FL",Florida
29540,"Lancaster, PA",Pennsylvania
29620,"Lansing-East Lansing, MI",Michigan
29700,"Laredo, TX",Texas
29740,"Las Cruces, NM",New Mexico
29820,"Las Vegas-Henderson-Paradise, NV",Nevada
29940,"Lawrence, KS",Kansas
30020,"Lawton, OK",Oklahoma
30140,"Lebanon, PA",Pennsylvania
30300,"Lewiston, ID-WA",Idaho
30340,"Lewiston-Auburn, ME",Maine
30460,"Lexington-Fayette, KY",Kentucky
30620,"Lima, OH",Ohio
30700,"Lincoln, NE",Nebraska
30780,"Little Rock-North Little Rock-Conway, AR",Arkansas
30860,"Logan, UT-ID",Idaho
30980,"Longview, TX",Texas
31020,"Longview, WA",Washington
31080,"Los Angeles-Long Beach-Anaheim, CA",California
31140,"Louisville/Jefferson County, KY-IN",Kentucky
31180,"Lubbock, TX",Texas
31340,"Lynchburg, VA",Virginia
31420,"Macon, GA",Georgia
31460,"Madera, CA",California
31540,"Madison, WI",Wisconsin
31700,"Manchester-Nashua, NH",New Hampshire
31740,"Manhattan, KS",Kansas
31860,"Mankato-North Mankato, MN",Minnesota
31900,"Mansfield, OH",Ohio
32420,"Mayagüez, PR",Puerto Rico
32580,"McAllen-Edinburg-Mission, TX",Texas
32780,"Medford, OR",Oregon
32820,"Memphis, TN-MS-AR",Mississippi
32900,"Merced, CA",California
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Florida
33140,"Michigan City-La Porte, IN",Indiana
33220,"Midland, MI",Michigan
33260,"Midland, TX",Texas
33340,"Milwaukee-Waukesha-West Allis, WI",Wisconsin
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minnesota
33540,"Missoula, MT",Montana
33660,"Mobile, AL",Alabama
33700,"Modesto, CA",California
33740,"Monroe, LA",Louisiana
33780,"Monroe, MI",Michigan
33860,"Montgomery, AL",Alabama
34060,"Morgantown, WV",West Virginia
34100,"Morristown, TN",Tennessee
34580,"Mount Vernon-Anacortes, WA",Washington
34620,"Muncie, IN",Indiana
34740,"Muskegon, MI",Michigan
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",North Carolina
34900,"Napa, CA",California
34940,"Naples-Immokalee-Marco Island, FL",Florida
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Tennessee
35100,"New Bern, NC",North Carolina
35300,"New Haven-Milford, CT",Connecticut
35380,"New Orleans-Metairie, LA",Louisiana
35620,"New York-Newark-Jersey City, NY-NJ-PA",New Jersey
35660,"Niles-Benton Harbor, MI",Michigan
35840,"North Port-Sarasota-Bradenton, FL",Florida
35980,"Norwich-New London, CT",Connecticut
36100,"Ocala, FL",Florida
36140,"Ocean City, NJ",New Jersey
36220,"Odessa, TX",Texas
36260,"Ogden-Clearfield, UT",Utah
36420,"Oklahoma City, OK",Oklahoma
36500,"Olympia-Tumwater, WA",Washington
36540,"Omaha-Council Bluffs, NE-IA",Nebraska
36740,"Orlando-Kissimmee-Sanford, FL",Florida
36780,"Oshkosh-Neenah, WI",Wisconsin
36980,"Owensboro, KY",Kentucky
37100,"Oxnard-Thousand Oaks-Ventura, CA",California
37340,"Palm Bay-Melbourne-Titusville, FL",Florida
37460,"Panama City, FL",Florida
37620,"Parkersburg-Vienna, WV",West Virginia
37860,"Pensacola-Ferry Pass-Brent, FL",Florida
37900,"Peoria, IL",Illinois
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pennsylvania
38060,"Phoenix-Mesa-Scottsdale, AZ",Arizona
38220,"Pine Bluff, AR",Arkansas
38300,"Pittsburgh, PA",Pennsylvania
38340,"Pittsfield, MA",Massachusetts
38540,"Pocatello, ID",Idaho
38660,"Ponce, PR",Puerto Rico
38860,"Portland-South Portland, ME",Maine
38900,"Portland-Vancouver-Hillsboro, OR-WA",Oregon
38940,"Port St. Lucie, FL",Florida
39140,"Prescott, AZ",Arizona
39300,"Providence-Warwick, RI-MA",Rhode Island
39340,"Provo-Orem, UT",Utah
39380,"Pueblo, CO",Colorado
39460,"Punta Gorda, FL",Florida
39540,"Racine, WI",Wisconsin
39580,"Raleigh, NC",North Carolina
39660,"Rapid City, SD",South Dakota
39740,"Reading, PA",Pennsylvania
39820,"Redding, CA",California
39900,"Reno, NV",Nevada
40060,"Richmond, VA",Virginia
40140,"Riverside-San Bernardino-Ontario, CA",California
40220,"Roanoke, VA",Virginia
40340,"Rochester, MN",Minnesota
40380,"Rochester, NY",New York
40420,"Rockford, IL",Illinois
40580,"Rocky Mount, NC",North Carolina
40660,"Rome, GA",Georgia
40900,"Sacramento--Roseville--Arden-Arcade, CA",California
40980,"Saginaw, MI",Michigan
41060,"St. Cloud, MN",Minnesota
41100,"St. George, UT",Utah
41140,"St. Joseph, MO-KS",Missouri
41180,"St. Louis, MO-IL",Illinois
41420,"Salem, OR",Oregon
41500,"Salinas, CA",California
41540,"Salisbury, MD-DE",Maryland
41620,"Salt Lake City, UT",Utah
41660,"San Angelo, TX",Texas
41700,"San Antonio-New Braunfels, TX",Texas
41740,"San Diego-Carlsbad, CA",California
41860,"San Francisco-Oakland-Hayward, CA",California
41900,"San Germán, PR",Puerto Rico
41940,"San Jose-Sunnyvale-Santa Clara, CA",California
41980,"San Juan-Carolina-Caguas, PR",Puerto Rico
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",California
42100,"Santa Cruz-Watsonville, CA",California
42140,"Santa Fe, NM",New Mexico
42200,"Santa Maria-Santa Barbara, CA",California
42220,"Santa Rosa, CA",California
42340,"Savannah, GA",Georgia
42540,"Scranton--Wilkes-Barre--Hazleton, PA",Pennsylvania
42660,"Seattle-Tacoma-Bellevue, WA",Washington
42680,"Sebastian-Vero Beach, FL",Florida
42700,"Sebring, FL",Florida
43100,"Sheboygan, WI",Wisconsin
43300,"Sherman-Denison, TX",Texas
43340,"Shreveport-Bossier City, LA",Louisiana
43420,"Sierra Vista-Douglas, AZ",Arizona
43580,"Sioux City, IA-NE-SD",Iowa
43620,"Sioux Falls, SD",South Dakota
43780,"South Bend-Mishawaka, IN-MI",Indiana
43900,"Spartanburg, SC",South Carolina
44060,"Spokane-Spokane Valley, WA",Washington
44100,"Springfield, IL",Illinois
44140,"Springfield, MA",Massachusetts
44180,"Springfield, MO",Missouri
44220,"Springfield, OH",Ohio
44300,"State College, PA",Pennsylvania
44420,"Staunton-Waynesboro, VA",Virginia
44700,"Stockton-Lodi, CA",California
44940,"Sumter, SC",South Carolina
45060,"Syracuse, NY",New York
45220,"Tallahassee, FL",Florida
45300,"Tampa-St. Petersburg-Clearwater, FL",Florida
45460,"Terre Haute, IN",Indiana
45500,"Texarkana, TX-AR",Arkansas
45540,"The Villages, FL",Florida
45780,"Toledo, OH",Ohio
45820,"Topeka, KS",Kansas
45940,"Trenton, NJ",New Jersey
46060,"Tucson, AZ",Arizona
46140,"Tulsa, OK",Oklahoma
46220,"Tuscaloosa, AL",Alabama
46340,"Tyler, TX",Texas
46520,"Urban Honolulu, HI",Hawaii
46540,"Utica-Rome, NY",New York
46660,"Valdosta, GA",Georgia
46700,"Vallejo-Fairfield, CA",California
47020,"Victoria, TX",Texas
47220,"Vineland-Bridgeton, NJ",New Jersey
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia
47300,"Visalia-Porterville, CA",California
47380,"Waco, TX",Texas
47460,"Walla Walla, WA",Washington
47580,"Warner Robins, GA",Georgia
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Virginia
47940,"Waterloo-Cedar Falls, IA",Iowa
48060,"Watertown-Fort Drum, NY",New York
48140,"Wausau, WI",Wisconsin
48260,"Weirton-Steubenville, WV-OH",West Virginia
48300,"Wenatchee, WA",Washington
48540,"Wheeling, WV-OH",West Virginia
48620,"Wichita, KS",Kansas
48660,"Wichita Falls, TX",Texas
48700,"Williamsport, PA",Pennsylvania
48900,"Wilmington, NC",North Carolina
49020,"Winchester, VA-WV",Virginia
49180,"Winston-Salem, NC",North Carolina
49340,"Worcester, MA-CT",Connecticut
49420,"Yakima, WA",Washington
49620,"York-Hanover, PA",Pennsylvania
49660,"Youngstown-Warren-Boardman, OH-PA",Ohio
49700,"Yuba City, CA",California
49740,"Yuma, AZ",Arizona
